base        rep  M   N    OS         type  no  group  Source      Name
17          6    15  20   0.146667   PSS   NA  NA     NasiriPSS   PSSata
17          7    15  20   0.109048   PSS   NA  NA     NasiriPSS   PSSata
17          8    15  20   0.104286   PSS   NA  NA     NasiriPSS   PSSata
17          9    15  20   0.127143   PSS   NA  NA     NasiriPSS   PSSata
18          0    15  20   0.122857   PSS   NA  NA     NasiriPSS   PSSata
18          1    15  20   0.14       PSS   NA  NA     NasiriPSS   PSSata
18          2    15  20   0.14619    PSS   NA  NA     NasiriPSS   PSSata
18          3    15  20   0.160952   PSS   NA  NA     NasiriPSS   PSSata
18          4    15  20   0.164762   PSS   NA  NA     NasiriPSS   PSSata
18          5    15  20   0.134286   PSS   NA  NA     NasiriPSS   PSSata
18          6    15  20   0.146667   PSS   NA  NA     NasiriPSS   PSSata
18          7    15  20   0.109048   PSS   NA  NA     NasiriPSS   PSSata
18          8    15  20   0.104286   PSS   NA  NA     NasiriPSS   PSSata
18          9    15  20   0.127143   PSS   NA  NA     NasiriPSS   PSSata
19          0    15  20   0.122857   PSS   NA  NA     NasiriPSS   PSSata
19          1    15  20   0.14       PSS   NA  NA     NasiriPSS   PSSata
19          2    15  20   0.14619    PSS   NA  NA     NasiriPSS   PSSata
19          3    15  20   0.160952   PSS   NA  NA     NasiriPSS   PSSata
19          4    15  20   0.164762   PSS   NA  NA     NasiriPSS   PSSata
19          5    15  20   0.134286   PSS   NA  NA     NasiriPSS   PSSata
19          6    15  20   0.146667   PSS   NA  NA     NasiriPSS   PSSata
19          7    15  20   0.109048   PSS   NA  NA     NasiriPSS   PSSata
19          8    15  20   0.104286   PSS   NA  NA     NasiriPSS   PSSata
19          9    15  20   0.127143   PSS   NA  NA     NasiriPSS   PSSata
20          0    15  20   0.122857   PSS   NA  NA     NasiriPSS   PSSata
20          1    15  20   0.14       PSS   NA  NA     NasiriPSS   PSSata
20          2    15  20   0.14619    PSS   NA  NA     NasiriPSS   PSSata
20          3    15  20   0.160952   PSS   NA  NA     NasiriPSS   PSSata
20          4    15  20   0.164762   PSS   NA  NA     NasiriPSS   PSSata
20          5    15  20   0.134286   PSS   NA  NA     NasiriPSS   PSSata
20          6    15  20   0.146667   PSS   NA  NA     NasiriPSS   PSSata
20          7    15  20   0.109048   PSS   NA  NA     NasiriPSS   PSSata
20          8    15  20   0.104286   PSS   NA  NA     NasiriPSS   PSSata
20          9    15  20   0.127143   PSS   NA  NA     NasiriPSS   PSSata
21          0    20  20   0.125      PSS   NA  NA     NasiriPSS   PSSata
21          1    20  20   0.0963158  PSS   NA  NA     NasiriPSS   PSSata
21          2    20  20   0.0897368  PSS   NA  NA     NasiriPSS   PSSata
21          3    20  20   0.104737   PSS   NA  NA     NasiriPSS   PSSata
21          4    20  20   0.0797368  PSS   NA  NA     NasiriPSS   PSSata
21          5    20  20   0.131053   PSS   NA  NA     NasiriPSS   PSSata
21          6    20  20   0.120263   PSS   NA  NA     NasiriPSS   PSSata
21          7    20  20   0.0973684  PSS   NA  NA     NasiriPSS   PSSata
21          8    20  20   0.102105   PSS   NA  NA     NasiriPSS   PSSata
21          9    20  20   0.107368   PSS   NA  NA     NasiriPSS   PSSata
22          0    20  20   0.125      PSS   NA  NA     NasiriPSS   PSSata
22          1    20  20   0.0963158  PSS   NA  NA     NasiriPSS   PSSata
22          2    20  20   0.0897368  PSS   NA  NA     NasiriPSS   PSSata
22          3    20  20   0.104737   PSS   NA  NA     NasiriPSS   PSSata
22          4    20  20   0.0797368  PSS   NA  NA     NasiriPSS   PSSata
22          5    20  20   0.131053   PSS   NA  NA     NasiriPSS   PSSata
22          6    20  20   0.120263   PSS   NA  NA     NasiriPSS   PSSata
22          7    20  20   0.0973684  PSS   NA  NA     NasiriPSS   PSSata
22          8    20  20   0.102105   PSS   NA  NA     NasiriPSS   PSSata
22          9    20  20   0.107368   PSS   NA  NA     NasiriPSS   PSSata
23          0    20  20   0.125      PSS   NA  NA     NasiriPSS   PSSata
23          1    20  20   0.0963158  PSS   NA  NA     NasiriPSS   PSSata
23          2    20  20   0.0897368  PSS   NA  NA     NasiriPSS   PSSata
23          3    20  20   0.104737   PSS   NA  NA     NasiriPSS   PSSata
23          4    20  20   0.0797368  PSS   NA  NA     NasiriPSS   PSSata
23          5    20  20   0.131053   PSS   NA  NA     NasiriPSS   PSSata
23          6    20  20   0.120263   PSS   NA  NA     NasiriPSS   PSSata
23          7    20  20   0.0973684  PSS   NA  NA     NasiriPSS   PSSata
23          8    20  20   0.102105   PSS   NA  NA     NasiriPSS   PSSata
23          9    20  20   0.107368   PSS   NA  NA     NasiriPSS   PSSata
24          0    20  20   0.125      PSS   NA  NA     NasiriPSS   PSSata
24          1    20  20   0.0963158  PSS   NA  NA     NasiriPSS   PSSata
24          2    20  20   0.0897368  PSS   NA  NA     NasiriPSS   PSSata
24          3    20  20   0.104737   PSS   NA  NA     NasiriPSS   PSSata
24          4    20  20   0.0797368  PSS   NA  NA     NasiriPSS   PSSata
24          5    20  20   0.131053   PSS   NA  NA     NasiriPSS   PSSata
24          6    20  20   0.120263   PSS   NA  NA     NasiriPSS   PSSata
24          7    20  20   0.0973684  PSS   NA  NA     NasiriPSS   PSSata
24          8    20  20   0.102105   PSS   NA  NA     NasiriPSS   PSSata
24          9    20  20   0.107368   PSS   NA  NA     NasiriPSS   PSSata
25          0    20  20   0.125      PSS   NA  NA     NasiriPSS   PSSata
25          1    20  20   0.0963158  PSS   NA  NA     NasiriPSS   PSSata
25          2    20  20   0.0897368  PSS   NA  NA     NasiriPSS   PSSata
25          3    20  20   0.104737   PSS   NA  NA     NasiriPSS   PSSata
25          4    20  20   0.0797368  PSS   NA  NA     NasiriPSS   PSSata
25          5    20  20   0.131053   PSS   NA  NA     NasiriPSS   PSSata
25          6    20  20   0.120263   PSS   NA  NA     NasiriPSS   PSSata
25          7    20  20   0.0973684  PSS   NA  NA     NasiriPSS   PSSata
25          8    20  20   0.102105   PSS   NA  NA     NasiriPSS   PSSata
25          9    20  20   0.107368   PSS   NA  NA     NasiriPSS   PSSata
26          0    20  20   0.125      PSS   NA  NA     NasiriPSS   PSSata
26          1    20  20   0.0963158  PSS   NA  NA     NasiriPSS   PSSata
26          2    20  20   0.0897368  PSS   NA  NA     NasiriPSS   PSSata
26          3    20  20   0.104737   PSS   NA  NA     NasiriPSS   PSSata
26          4    20  20   0.0797368  PSS   NA  NA     NasiriPSS   PSSata
26          5    20  20   0.131053   PSS   NA  NA     NasiriPSS   PSSata
26          6    20  20   0.120263   PSS   NA  NA     NasiriPSS   PSSata
26          7    20  20   0.0973684  PSS   NA  NA     NasiriPSS   PSSata
26          8    20  20   0.102105   PSS   NA  NA     NasiriPSS   PSSata
26          9    20  20   0.107368   PSS   NA  NA     NasiriPSS   PSSata
27          0    20  20   0.125      PSS   NA  NA     NasiriPSS   PSSata
27          1    20  20   0.0963158  PSS   NA  NA     NasiriPSS   PSSata
27          2    20  20   0.0897368  PSS   NA  NA     NasiriPSS   PSSata
27          3    20  20   0.104737   PSS   NA  NA     NasiriPSS   PSSata
27          4    20  20   0.0797368  PSS   NA  NA     NasiriPSS   PSSata
27          5    20  20   0.131053   PSS   NA  NA     NasiriPSS   PSSata
27          6    20  20   0.120263   PSS   NA  NA     NasiriPSS   PSSata
27          7    20  20   0.0973684  PSS   NA  NA     NasiriPSS   PSSata
27          8    20  20   0.102105   PSS   NA  NA     NasiriPSS   PSSata
27          9    20  20   0.107368   PSS   NA  NA     NasiriPSS   PSSata
28          0    20  20   0.125      PSS   NA  NA     NasiriPSS   PSSata
28          1    20  20   0.0963158  PSS   NA  NA     NasiriPSS   PSSata
28          2    20  20   0.0897368  PSS   NA  NA     NasiriPSS   PSSata
28          3    20  20   0.104737   PSS   NA  NA     NasiriPSS   PSSata
28          4    20  20   0.0797368  PSS   NA  NA     NasiriPSS   PSSata
28          5    20  20   0.131053   PSS   NA  NA     NasiriPSS   PSSata
28          6    20  20   0.120263   PSS   NA  NA     NasiriPSS   PSSata
28          7    20  20   0.0973684  PSS   NA  NA     NasiriPSS   PSSata
28          8    20  20   0.102105   PSS   NA  NA     NasiriPSS   PSSata
28          9    20  20   0.107368   PSS   NA  NA     NasiriPSS   PSSata
29          0    20  20   0.125      PSS   NA  NA     NasiriPSS   PSSata
29          1    20  20   0.0963158  PSS   NA  NA     NasiriPSS   PSSata
29          2    20  20   0.0897368  PSS   NA  NA     NasiriPSS   PSSata
29          3    20  20   0.104737   PSS   NA  NA     NasiriPSS   PSSata
29          4    20  20   0.0797368  PSS   NA  NA     NasiriPSS   PSSata
29          5    20  20   0.131053   PSS   NA  NA     NasiriPSS   PSSata
29          6    20  20   0.120263   PSS   NA  NA     NasiriPSS   PSSata
29          7    20  20   0.0973684  PSS   NA  NA     NasiriPSS   PSSata
29          8    20  20   0.102105   PSS   NA  NA     NasiriPSS   PSSata
29          9    20  20   0.107368   PSS   NA  NA     NasiriPSS   PSSata
30          0    20  20   0.125      PSS   NA  NA     NasiriPSS   PSSata
30          1    20  20   0.0963158  PSS   NA  NA     NasiriPSS   PSSata
30          2    20  20   0.0897368  PSS   NA  NA     NasiriPSS   PSSata
30          3    20  20   0.104737   PSS   NA  NA     NasiriPSS   PSSata
30          4    20  20   0.0797368  PSS   NA  NA     NasiriPSS   PSSata
30          5    20  20   0.131053   PSS   NA  NA     NasiriPSS   PSSata
30          6    20  20   0.120263   PSS   NA  NA     NasiriPSS   PSSata
30          7    20  20   0.0973684  PSS   NA  NA     NasiriPSS   PSSata
30          8    20  20   0.102105   PSS   NA  NA     NasiriPSS   PSSata
30          9    20  20   0.107368   PSS   NA  NA     NasiriPSS   PSSata
31          0    15  30   0.108889   PSS   NA  NA     NasiriPSS   PSSata
31          1    15  30   0.122222   PSS   NA  NA     NasiriPSS   PSSata
31          2    15  30   0.120952   PSS   NA  NA     NasiriPSS   PSSata
31          3    15  30   0.12       PSS   NA  NA     NasiriPSS   PSSata
31          4    15  30   0.139048   PSS   NA  NA     NasiriPSS   PSSata
31          5    15  30   0.128889   PSS   NA  NA     NasiriPSS   PSSata
31          6    15  30   0.14254    PSS   NA  NA     NasiriPSS   PSSata
31          7    15  30   0.115873   PSS   NA  NA     NasiriPSS   PSSata
31          8    15  30   0.11746    PSS   NA  NA     NasiriPSS   PSSata
31          9    15  30   0.136508   PSS   NA  NA     NasiriPSS   PSSata
32          0    15  30   0.108889   PSS   NA  NA     NasiriPSS   PSSata
32          1    15  30   0.122222   PSS   NA  NA     NasiriPSS   PSSata
32          2    15  30   0.120952   PSS   NA  NA     NasiriPSS   PSSata
32          3    15  30   0.12       PSS   NA  NA     NasiriPSS   PSSata
32          4    15  30   0.139048   PSS   NA  NA     NasiriPSS   PSSata
32          5    15  30   0.128889   PSS   NA  NA     NasiriPSS   PSSata
32          6    15  30   0.14254    PSS   NA  NA     NasiriPSS   PSSata
32          7    15  30   0.115873   PSS   NA  NA     NasiriPSS   PSSata
32          8    15  30   0.11746    PSS   NA  NA     NasiriPSS   PSSata
32          9    15  30   0.136508   PSS   NA  NA     NasiriPSS   PSSata
33          0    15  30   0.108889   PSS   NA  NA     NasiriPSS   PSSata
33          1    15  30   0.122222   PSS   NA  NA     NasiriPSS   PSSata
33          2    15  30   0.120952   PSS   NA  NA     NasiriPSS   PSSata
33          3    15  30   0.12       PSS   NA  NA     NasiriPSS   PSSata
33          4    15  30   0.139048   PSS   NA  NA     NasiriPSS   PSSata
33          5    15  30   0.128889   PSS   NA  NA     NasiriPSS   PSSata
33          6    15  30   0.14254    PSS   NA  NA     NasiriPSS   PSSata
33          7    15  30   0.115873   PSS   NA  NA     NasiriPSS   PSSata
33          8    15  30   0.11746    PSS   NA  NA     NasiriPSS   PSSata
33          9    15  30   0.136508   PSS   NA  NA     NasiriPSS   PSSata
34          0    15  30   0.108889   PSS   NA  NA     NasiriPSS   PSSata
34          1    15  30   0.122222   PSS   NA  NA     NasiriPSS   PSSata
34          2    15  30   0.120952   PSS   NA  NA     NasiriPSS   PSSata
34          3    15  30   0.12       PSS   NA  NA     NasiriPSS   PSSata
34          4    15  30   0.139048   PSS   NA  NA     NasiriPSS   PSSata
34          5    15  30   0.128889   PSS   NA  NA     NasiriPSS   PSSata
34          6    15  30   0.14254    PSS   NA  NA     NasiriPSS   PSSata
34          7    15  30   0.115873   PSS   NA  NA     NasiriPSS   PSSata
34          8    15  30   0.11746    PSS   NA  NA     NasiriPSS   PSSata
34          9    15  30   0.136508   PSS   NA  NA     NasiriPSS   PSSata
35          0    15  30   0.108889   PSS   NA  NA     NasiriPSS   PSSata
35          1    15  30   0.122222   PSS   NA  NA     NasiriPSS   PSSata
35          2    15  30   0.120952   PSS   NA  NA     NasiriPSS   PSSata
35          3    15  30   0.12       PSS   NA  NA     NasiriPSS   PSSata
35          4    15  30   0.139048   PSS   NA  NA     NasiriPSS   PSSata
35          5    15  30   0.128889   PSS   NA  NA     NasiriPSS   PSSata
35          6    15  30   0.14254    PSS   NA  NA     NasiriPSS   PSSata
35          7    15  30   0.115873   PSS   NA  NA     NasiriPSS   PSSata
35          8    15  30   0.11746    PSS   NA  NA     NasiriPSS   PSSata
35          9    15  30   0.136508   PSS   NA  NA     NasiriPSS   PSSata
36          0    15  30   0.108889   PSS   NA  NA     NasiriPSS   PSSata
36          1    15  30   0.122222   PSS   NA  NA     NasiriPSS   PSSata
36          2    15  30   0.120952   PSS   NA  NA     NasiriPSS   PSSata
36          3    15  30   0.12       PSS   NA  NA     NasiriPSS   PSSata
36          4    15  30   0.139048   PSS   NA  NA     NasiriPSS   PSSata
36          5    15  30   0.128889   PSS   NA  NA     NasiriPSS   PSSata
36          6    15  30   0.14254    PSS   NA  NA     NasiriPSS   PSSata
36          7    15  30   0.115873   PSS   NA  NA     NasiriPSS   PSSata
36          8    15  30   0.11746    PSS   NA  NA     NasiriPSS   PSSata
36          9    15  30   0.136508   PSS   NA  NA     NasiriPSS   PSSata
37          0    15  30   0.108889   PSS   NA  NA     NasiriPSS   PSSata
37          1    15  30   0.122222   PSS   NA  NA     NasiriPSS   PSSata
37          2    15  30   0.120952   PSS   NA  NA     NasiriPSS   PSSata
37          3    15  30   0.12       PSS   NA  NA     NasiriPSS   PSSata
37          4    15  30   0.139048   PSS   NA  NA     NasiriPSS   PSSata
37          5    15  30   0.128889   PSS   NA  NA     NasiriPSS   PSSata
37          6    15  30   0.14254    PSS   NA  NA     NasiriPSS   PSSata
37          7    15  30   0.115873   PSS   NA  NA     NasiriPSS   PSSata
37          8    15  30   0.11746    PSS   NA  NA     NasiriPSS   PSSata
37          9    15  30   0.136508   PSS   NA  NA     NasiriPSS   PSSata
38          0    15  30   0.108889   PSS   NA  NA     NasiriPSS   PSSata
38          1    15  30   0.122222   PSS   NA  NA     NasiriPSS   PSSata
38          2    15  30   0.120952   PSS   NA  NA     NasiriPSS   PSSata
38          3    15  30   0.12       PSS   NA  NA     NasiriPSS   PSSata
38          4    15  30   0.139048   PSS   NA  NA     NasiriPSS   PSSata
38          5    15  30   0.128889   PSS   NA  NA     NasiriPSS   PSSata
38          6    15  30   0.14254    PSS   NA  NA     NasiriPSS   PSSata
38          7    15  30   0.115873   PSS   NA  NA     NasiriPSS   PSSata
38          8    15  30   0.11746    PSS   NA  NA     NasiriPSS   PSSata
38          9    15  30   0.136508   PSS   NA  NA     NasiriPSS   PSSata
39          0    15  30   0.108889   PSS   NA  NA     NasiriPSS   PSSata
39          1    15  30   0.122222   PSS   NA  NA     NasiriPSS   PSSata
39          2    15  30   0.120952   PSS   NA  NA     NasiriPSS   PSSata
39          3    15  30   0.12       PSS   NA  NA     NasiriPSS   PSSata
39          4    15  30   0.139048   PSS   NA  NA     NasiriPSS   PSSata
39          5    15  30   0.128889   PSS   NA  NA     NasiriPSS   PSSata
